blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762206,13762198,106655691742603281077322325089174923342992778343367653405662558899359923959822,7439833,12349885375927207198821109016395763691055809915589285811644799380974312973849061633122771756557649420438918572103411237655090974333097577593054602198091225,1640372101,13762205,0xd7b3ebd140815ad1e445716095a82929f19f7824d9662a40b2c7d22b992f5bef,2,278577654894510317856034489817,0
13762205,13762194,29674604974284173489996421672795370976455886568946886003909309568961845343255,7439829,3436084507264420081239600828084929098564569372551983294088545398848225475189093711981839472278130481440825676725422227867170913964330402522393556483671509,1640372098,13762204,0x8851e636bd79a043ae7ded18825a10a4fcd9737e37d5973922f0f763b85db9eb,2,4043194474549192532611443033557,1
13762207,13762198,106655691742603281077322325089174923342992778343367653405662558899359923959822,7439834,12349885375927207198821109016395763691055809915589285811644799380974312973849061633122771756557649420438918572103411237655090974333097577593054602198091226,1640372104,13762206,0x5f667b8b27edd394f3b9b72f8dea79f82ed0b54b03ae306bf786431038fcf5f9,2,120121334552748296384134874586,0
13762206,13762187,2500231417669724664943276836133966136669356380209882464699333494443062377426,7439832,289507019428754338728467399875284433580539517992381889403060598542047437531273741655927608353231735457935724744671965626019292323907513631534191521924568,1640372101,13762205,0xd7b3ebd140815ad1e445716095a82929f19f7824d9662a40b2c7d22b992f5bef,2,210592293220130815646035378013656,2
13762206,13762184,81556909398030497014190908183587426693794717490286771529222299716975883514276,7439830,9443644930936459183826906396739524578720162958202209391010332196884628456679562327419360506552081367180257839371522916149149594064255717004118322203166166,1640372101,13762205,0xd7b3ebd140815ad1e445716095a82929f19f7824d9662a40b2c7d22b992f5bef,2,80506058573861507308580865494,0
13762206,13762180,14804851257084118512783037848245192243388810101458663299960851021405892170467,7439831,1714284657905477105461796386467336686574284761715536064897658662916071127552867629305104177312184071302200888818226047636653878405057717067396373250409943,1640372101,13762205,0xd7b3ebd140815ad1e445716095a82929f19f7824d9662a40b2c7d22b992f5bef,2,278577660759562749279420384727,0
13762205,13762200,92107765177330872556761568625509840076136154101741523928170303313544796920902,7439812,10665350564863261578392032860376181197117346056095543358945694464190839330159163008588369840941421422975485924391341691314605031584230667338503484739782084,1640372098,13762204,0x8851e636bd79a043ae7ded18825a10a4fcd9737e37d5973922f0f763b85db9eb,2,238963584227137809258619438532,0
13762205,13762200,92107765177330872556761568625509840076136154101741523928170303313544796920902,7439823,10665350564863261578392032860376181197117346056095543358945694464190839330159163008588369840941421422975485924391341691314605031584230667338503484739782095,1640372098,13762204,0x8851e636bd79a043ae7ded18825a10a4fcd9737e37d5973922f0f763b85db9eb,2,7806534593010327564076415288783,1
13762205,13762197,40213461258906086690336358713262142822054639488681093250190022980382990633495,7439811,4656400694632611263465900839796305449768109666741330731484710909275190414932799543487610176712808208916598702942514489655128312782679796343007149898696131,1640372098,13762204,0x8851e636bd79a043ae7ded18825a10a4fcd9737e37d5973922f0f763b85db9eb,2,290454281041516656165433778472387,2
13762208,13762191,79488510288939781552614156662846501921965076018599827031530189587652557179045,7439835,9204140676718241742839422753121295836957100411112308319249471187461908310004589093848075958867106762125075422136490703889373287937826023381686012741780955,1640372107,13762207,0x9d31348f2f310bc56047b887e610db20daf799674fe4667c6dd9619efef007a2,2,238964794369258086050626110939,0
